"Airports","IATA","Rank","Hotels nearby","URL"
"Hassfurt Schweinfurt","XXX","999","30","https://www.booking.com/searchresults.de.html?iata=XXX&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Heringsdorf Airport","HDF","999","30","https://www.booking.com/searchresults.de.html?iata=HDF&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Hildesheim","ZNO","999","30","https://www.booking.com/searchresults.de.html?iata=ZNO&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Hof / Plauen","HOQ","999","30","https://www.booking.com/searchresults.de.html?iata=HOQ&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Ingolstadt Manching","ZNQ","999","31","https://www.booking.com/searchresults.de.html?iata=ZNQ&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Juist","JUI","999","31","https://www.booking.com/searchresults.de.html?iata=JUI&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Kassel Calden","KSF","999","30","https://www.booking.com/searchresults.de.html?iata=KSF&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Kelley Bks Ahp","ED4","999","30","https://www.booking.com/searchresults.de.html?iata=ED4&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Kiel Holtenau","KEL","999","30","https://www.booking.com/searchresults.de.html?iata=KEL&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Köln/Bonn","CGN","150","30","https://www.booking.com/searchresults.de.html?iata=CGN&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Laage","RLG","712","32","https://www.booking.com/searchresults.de.html?iata=RLG&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Langenhagen","HAJ","158","30","https://www.booking.com/searchresults.de.html?iata=HAJ&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Langeoog","LGO","999","30","https://www.booking.com/searchresults.de.html?iata=LGO&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Lemwerder","XLW","999","30","https://www.booking.com/searchresults.de.html?iata=XLW&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Magdeburg","ZMG","790","30","https://www.booking.com/searchresults.de.html?iata=ZMG&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Memmingen","FMM","999","30","https://www.booking.com/searchresults.de.html?iata=FMM&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
